MAF/TIGER Object Identifier,Zip Code Tabulation Area Code,Geographic Identifier,Base Name,Legal/Statistical Area Description Code,Name,ZIP Code Tabulation Area FIPS Class Code,MAF/TIGER Feature Class Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Decennial Housing Count,Decennial Population Count,Object ID,Shape Area,Shape Length
2.21704E+14,48462,48462,48462,Z5,ZCTA5 48462,B5,G6350,S,117678415,3100170,42.8473381,-83.4257857,42.8484449,-83.4212502,5135,13080,24884,224805347.3,98862.2116
2.21704E+14,75116,75116,75116,Z5,ZCTA5 75116,B5,G6350,S,13213745,15027,32.6601168,-96.9140026,32.6606604,-96.9118821,6972,20656,24885,18716904.91,19832.56166
2.21704E+14,75236,75236,75236,Z5,ZCTA5 75236,B5,G6350,S,34568217,1124873,32.6865863,-96.9345719,32.6888437,-96.9357096,7326,18385,24886,50530541.12,50373.89439
2.21704E+14,75412,75412,75412,Z5,ZCTA5 75412,B5,G6350,S,323676549,3284057,33.8028329,-95.1424194,33.8008476,-95.1347503,308,604,24887,474739155,173465.6104
2.21704E+14,75667,75667,75667,Z5,ZCTA5 75667,B5,G6350,S,221671292,549868,31.988006,-94.8373051,31.9881746,-94.8442737,607,1227,24888,309823969.9,125654.9011
2.21704E+14,79233,79233,79233,Z5,ZCTA5 79233,B5,G6350,S,193465787,5214280,34.5019429,-100.4916377,34.4984756,-100.4941366,98,146,24889,293249618.2,123686.8275
2.21704E+14,76873,76873,76873,Z5,ZCTA5 76873,B5,G6350,S,123644692,434709,31.5045657,-99.3696242,31.5057791,-99.3701004,44,65,24890,171213711.8,90684.6031
2.21704E+14,75163,75163,75163,Z5,ZCTA5 75163,B5,G6350,S,87783079,15754574,32.1671608,-96.109959,32.1667769,-96.1185313,1513,2317,24891,144915174.7,78864.21689
2217026265994131,75782,75782,75782,Z5,ZCTA5 75782,B5,G6350,S,4194585,1030,32.0692649,-95.5878537,32.0689563,-95.5883657,27,85,24892,5859900.703,18501.27632
2.21704E+14,77960,77960,77960,Z5,ZCTA5 77960,B5,G6350,S,52120367,266943,28.6530246,-97.2460832,28.6535148,-97.2523849,24,78,24893,68276568.78,59316.65941
2217026265994170,77852,77852,77852,Z5,ZCTA5 77852,B5,G6350,S,415865,12306,30.4282352,-96.7573845,30.428385,-96.7575813,24,40,24894,577777.7734,3969.543345
2.21704E+14,78141,78141,78141,Z5,ZCTA5 78141,B5,G6350,S,200389189,474048,28.9048088,-97.6236402,28.9081213,-97.6188839,399,726,24895,263039956.1,101627.6674
2217026265994187,78062,78062,78062,Z5,ZCTA5 78062,B5,G6350,S,5666144,56128,28.74599,-98.1971088,28.7494492,-98.2027843,3,3,24896,7470982.813,11508.48593
2.21704E+14,78352,78352,78352,Z5,ZCTA5 78352,B5,G6350,S,10721462,0,27.9815401,-97.6897825,27.9815401,-97.6897825,99,254,24897,13799750.45,21339.46916
2.21704E+14,04969,04969,04969,Z5,ZCTA5 04969,B5,G6350,S,76986553,3409494,44.7701797,-69.2245866,44.7852824,-69.2362765,630,1319,24898,159522965.2,53448.52382
2.21704E+14,04101,04101,04101,Z5,ZCTA5 04101,B5,G6350,S,5253722,2338673,43.6626636,-70.2574443,43.6626067,-70.257949,11330,18109,24899,14512474.1,18642.24483
2.21704E+14,04103,04103,04103,Z5,ZCTA5 04103,B5,G6350,S,26493719,1945312,43.693929,-70.290924,43.6954216,-70.2886521,14324,31185,24900,54416144.42,43850.94762
2.21704E+14,04411,04411,04411,Z5,ZCTA5 04411,B5,G6350,S,128264789,2937447,44.886368,-68.5667145,44.8944804,-68.5467521,738,1532,24901,261378218.4,67526.05938
2.21704E+14,04069,04069,04069,Z5,ZCTA5 04069,B5,G6350,S,59204522,38368,43.899139,-70.1818436,43.9039141,-70.1820179,657,1566,24902,114132991.9,47135.00017
2.21704E+14,03908,03908,03908,Z5,ZCTA5 03908,B5,G6350,S,82617623,1309341,43.2383924,-70.7479788,43.2306123,-70.7524244,2985,7468,24903,158203170.1,61290.15642
2.21704E+14,04783,04783,04783,Z5,ZCTA5 04783,B5,G6350,S,198598433,6339833,47.035854,-68.1891354,47.0356818,-68.1871331,441,473,24904,440999830.3,126786.0284
2.21704E+14,04664,04664,04664,Z5,ZCTA5 04664,B5,G6350,S,104050284,10383569,44.5385529,-68.1284798,44.5436687,-68.1356038,816,1219,24905,225266849.5,77712.42099
2.21704E+14,04756,04756,04756,Z5,ZCTA5 04756,B5,G6350,S,42540277,666588,47.3304858,-68.3018458,47.3217083,-68.298213,1858,3134,24906,94006382.56,49950.26195
2.21704E+14,04090,04090,04090,Z5,ZCTA5 04090,B5,G6350,S,149325973,2837247,43.3265,-70.6330007,43.3314325,-70.6455874,9366,11314,24907,287655343.1,75143.53006
2.21704E+14,03907,03907,03907,Z5,ZCTA5 03907,B5,G6350,S,10572995,1368215,43.2541653,-70.6094069,43.2557605,-70.6107159,2104,1577,24908,22520862.87,26608.62132
2.21704E+14,04221,04221,04221,Z5,ZCTA5 04221,B5,G6350,S,75430718,3581973,44.472395,-70.2985652,44.4905874,-70.2945474,438,1125,24909,155188935.8,58830.75113
2.21704E+14,04263,04263,04263,Z5,ZCTA5 04263,B5,G6350,S,103737920,8699246,44.2947568,-70.1305632,44.2953505,-70.133074,1053,2262,24910,219511184.1,67537.92011
2.21704E+14,04915,04915,04915,Z5,ZCTA5 04915,B5,G6350,S,189247688,16155908,44.4641554,-69.0386582,44.4635016,-69.0375706,4949,9110,24911,403321227.7,94108.52517
2.21704E+14,04261,04261,04261,Z5,ZCTA5 04261,B5,G6350,S,538705896,2761344,44.5629888,-70.9189601,44.5655676,-70.9626611,1590,488,24912,1066793720,164806.2965
2.21704E+14,04943,04943,04943,Z5,ZCTA5 04943,B5,G6350,S,96129050,15124543,44.8798923,-69.5205573,44.8798231,-69.5205004,1077,1705,24913,221586365.7,82985.84151
